# {"t_start": 1539259419.4601543, "env_id": "CartPole-v0"} 
r,l,t
57.0,57,19.543434
200.0,200,19.723271
200.0,200,19.803442
119.0,119,19.851114
200.0,200,19.933587
200.0,200,20.023492
154.0,154,20.082498
94.0,94,20.212405
200.0,200,20.307806
51.0,51,20.336159
200.0,200,20.42067
200.0,200,20.507804
200.0,200,20.610338
200.0,200,20.800145
200.0,200,20.875561
97.0,97,20.919103
200.0,200,20.99855
200.0,200,21.077924
200.0,200,21.16043
144.0,144,21.327078
200.0,200,21.431593
200.0,200,21.534174
144.0,144,21.602716
200.0,200,21.678924
200.0,200,21.768137
200.0,200,21.945323
188.0,188,22.032326
200.0,200,22.13736
200.0,200,22.238339
200.0,200,22.33927
152.0,152,22.502098
137.0,137,22.55691
200.0,200,22.637678
200.0,200,22.715272
200.0,200,22.789556
200.0,200,22.972318
200.0,200,23.063295
200.0,200,23.155021
200.0,200,23.238188
200.0,200,23.317671
200.0,200,23.496983
200.0,200,23.583451
200.0,200,23.662113
200.0,200,23.763381
200.0,200,23.868676
200.0,200,23.969038
200.0,200,24.153076
200.0,200,24.2313
200.0,200,24.310517
200.0,200,24.384964
200.0,200,24.467871
200.0,200,24.663918
200.0,200,24.744948
200.0,200,24.824711
200.0,200,24.902807
200.0,200,24.99316
97.0,97,25.130206
200.0,200,25.216955
200.0,200,25.307258
200.0,200,25.408857
200.0,200,25.507495
200.0,200,25.69035
200.0,200,25.774261
200.0,200,25.852161
200.0,200,25.941931
200.0,200,26.032552
200.0,200,26.120434
200.0,200,26.32154
200.0,200,26.411351
200.0,200,26.492049
200.0,200,26.573506
130.0,130,26.625018
97.0,97,26.663347
200.0,200,26.825518
200.0,200,26.929005
189.0,189,27.023051
200.0,200,27.125278
200.0,200,27.213315
200.0,200,27.384217
82.0,82,27.415828
200.0,200,27.491078
200.0,200,27.568588
200.0,200,27.642979
77.0,77,27.677577
200.0,200,27.87253
200.0,200,27.964287
200.0,200,28.047253
200.0,200,28.129083
200.0,200,28.212304
200.0,200,28.387169
200.0,200,28.463933
200.0,200,28.558763
200.0,200,28.660665
200.0,200,28.762865
200.0,200,28.939318
200.0,200,29.017795
198.0,198,29.092371
200.0,200,29.172187
200.0,200,29.246967
200.0,200,29.438284
200.0,200,29.54026
200.0,200,29.63032
106.0,106,29.670565
200.0,200,29.752625
150.0,150,29.814406
200.0,200,29.98476
200.0,200,30.076267
200.0,200,30.153538
200.0,200,30.253332
200.0,200,30.332561
200.0,200,30.489953
200.0,200,30.575207
200.0,200,30.655605
200.0,200,30.743184
200.0,200,30.822492
200.0,200,30.901992
200.0,200,31.096499
200.0,200,31.194551
200.0,200,31.280001
200.0,200,31.361439
200.0,200,31.462415
200.0,200,31.633505
200.0,200,31.712714
200.0,200,31.80034
200.0,200,31.902413
97.0,97,31.952617
200.0,200,32.119954
200.0,200,32.217712
200.0,200,32.311803
200.0,200,32.391185
200.0,200,32.470689
200.0,200,32.647505
200.0,200,32.736734
67.0,67,32.770494
200.0,200,32.857392
200.0,200,32.938337
200.0,200,33.031338
200.0,200,33.192751
200.0,200,33.274029
200.0,200,33.352785
200.0,200,33.432023
200.0,200,33.533821
200.0,200,33.71312
200.0,200,33.8092
200.0,200,33.90805
200.0,200,33.985226
163.0,163,34.051762
200.0,200,34.128319
200.0,200,34.296986
200.0,200,34.396873
200.0,200,34.472646
186.0,186,34.544771
200.0,200,34.642905
200.0,200,34.82009
200.0,200,34.896807
200.0,200,34.97202
108.0,108,35.014929
200.0,200,35.094046
200.0,200,35.262579
200.0,200,35.340766
137.0,137,35.407217
200.0,200,35.508365
43.0,43,35.525523
171.0,171,35.590806
162.0,162,35.652432
200.0,200,35.821992
200.0,200,35.924104
200.0,200,36.017643
200.0,200,36.092556
200.0,200,36.175925
200.0,200,36.368308
200.0,200,36.443375
200.0,200,36.530532
200.0,200,36.607611
150.0,150,36.683311
200.0,200,36.86849
200.0,200,36.944441
153.0,153,37.020264
12.0,12,37.026529
200.0,200,37.12257
200.0,200,37.197981
200.0,200,37.27581
137.0,137,37.424748
200.0,200,37.518201
200.0,200,37.615639
200.0,200,37.691433
200.0,200,37.775253
174.0,174,37.951401
200.0,200,38.026852
96.0,96,38.062919
25.0,25,38.072905
199.0,199,38.148156
169.0,169,38.213073
200.0,200,38.315438
200.0,200,38.496183
200.0,200,38.580277
200.0,200,38.681922
175.0,175,38.755714
192.0,192,38.832205
200.0,200,38.995167
200.0,200,39.078133
200.0,200,39.16856
200.0,200,39.251503
170.0,170,39.318342
200.0,200,39.400806
200.0,200,39.57224
200.0,200,39.651554
200.0,200,39.730867
200.0,200,39.817402
200.0,200,39.919803
110.0,110,40.066253
200.0,200,40.149525
200.0,200,40.248869
200.0,200,40.34253
200.0,200,40.419322
200.0,200,40.595471
200.0,200,40.677361
200.0,200,40.780233
200.0,200,40.866589
200.0,200,40.941857
200.0,200,41.128675
200.0,200,41.217845
200.0,200,41.307683
200.0,200,41.393738
200.0,200,41.477408
200.0,200,41.654595
200.0,200,41.73675
200.0,200,41.814808
200.0,200,41.903684
145.0,145,41.960176
200.0,200,42.034678
200.0,200,42.200268
200.0,200,42.279024
113.0,113,42.323501
15.0,15,42.329501
200.0,200,42.408072
200.0,200,42.502342
200.0,200,42.674811
187.0,187,42.756298
200.0,200,42.837204
200.0,200,42.918143
200.0,200,42.99388
200.0,200,43.074693
200.0,200,43.272023
200.0,200,43.351349
200.0,200,43.425056
200.0,200,43.523089
200.0,200,43.598717
200.0,200,43.773575
200.0,200,43.852593
200.0,200,43.954777
179.0,179,44.046422
200.0,200,44.130946
200.0,200,44.313905
200.0,200,44.389746
44.0,44,44.406622
200.0,200,44.486364
200.0,200,44.564538
200.0,200,44.639919
200.0,200,44.838359
90.0,90,44.883945
120.0,120,44.930998
200.0,200,45.008145
200.0,200,45.095102
180.0,180,45.166362
200.0,200,45.336651
200.0,200,45.415548
200.0,200,45.505842
200.0,200,45.610862
172.0,172,45.695819
200.0,200,45.872646
200.0,200,45.957828
177.0,177,46.027538
200.0,200,46.106795
200.0,200,46.18607
172.0,172,46.254155
200.0,200,46.455313
165.0,165,46.54405
200.0,200,46.632986
200.0,200,46.732978
200.0,200,46.81267
171.0,171,46.968047
200.0,200,47.044126
200.0,200,47.144148
200.0,200,47.245366
145.0,145,47.315285
200.0,200,47.486985
200.0,200,47.595382
134.0,134,47.656348
200.0,200,47.734837
200.0,200,47.81327
200.0,200,47.900843
200.0,200,48.090175
200.0,200,48.1669
167.0,167,48.229969
200.0,200,48.320945
190.0,190,48.392569
200.0,200,48.569433
113.0,113,48.612643
200.0,200,48.69146
200.0,200,48.779133
200.0,200,48.868692
172.0,172,48.939419
191.0,191,49.125053
159.0,159,49.186518
200.0,200,49.268594
200.0,200,49.356153
200.0,200,49.43552
198.0,198,49.621234
200.0,200,49.716105
185.0,185,49.790771
145.0,145,49.847975
200.0,200,49.927748
200.0,200,50.003186
200.0,200,50.179801
200.0,200,50.261537
168.0,168,50.337046
156.0,156,50.401582
108.0,108,50.456997
55.0,55,50.484761
200.0,200,50.652668
200.0,200,50.748781
200.0,200,50.828196
124.0,124,50.874815
200.0,200,50.955277
200.0,200,51.030444
200.0,200,51.221005
200.0,200,51.314717
102.0,102,51.353443
96.0,96,51.389867
200.0,200,51.471159
200.0,200,51.557613
200.0,200,51.735494
200.0,200,51.821678
76.0,76,51.849882
200.0,200,51.928254
107.0,107,51.970637
200.0,200,52.049207
148.0,148,52.112448
200.0,200,52.292129
200.0,200,52.378756
200.0,200,52.45448
200.0,200,52.539053
81.0,81,52.56913
200.0,200,52.736677
200.0,200,52.822926
195.0,195,52.913056
200.0,200,52.98824
82.0,82,53.018819
154.0,154,53.083923
