entloss,entropy,EpRewMean,EpThisIter,TimestepsSoFar,TimeElapsed,surrgain,EpLenMean,meankl,ev_tdlam_before,EpisodesSoFar,optimgain
0.0,0.6219271,68.65,14,21488,11.255173921585083,0.0033179973,68.65,0.0007999943,-0.009608626365661621,587,0.0033179973
0.0,0.61717933,69.75,13,22497,11.80299711227417,0.0045705074,69.75,0.00047093717,0.014716267585754395,600,0.0045705074
0.0,0.61620593,83.275,10,23531,12.29677677154541,0.005624327,83.275,0.00084280164,0.051567792892456055,610,0.005624327
0.0,0.61371595,90.7,9,24526,12.863646507263184,0.0012781573,90.7,0.00050537713,0.0027872323989868164,619,0.0012781573
0.0,0.6276647,105.925,6,25594,13.4122633934021,0.002165692,105.925,0.0006609041,-0.10074818134307861,625,0.002165692
0.0,0.6192018,111.275,9,26548,13.938636779785156,0.0021735746,111.275,0.00064876874,-0.006345868110656738,634,0.0021735746
0.0,0.61582035,111.125,10,27471,14.500879049301147,0.0025897473,111.125,0.00026800996,0.06987273693084717,644,0.0025897473
0.0,0.62400043,120.45,9,28544,15.03495740890503,0.0025108997,120.45,0.00042990112,0.026227891445159912,653,0.0025108997
0.0,0.6055893,116.65,9,29660,15.552552461624146,0.0055311737,116.65,0.0008885164,0.030363857746124268,662,0.0055311737
0.0,0.6124983,115.775,7,30707,16.092543363571167,0.0021391967,115.775,0.00073352316,-0.07465362548828125,669,0.0021391967
0.0,0.59153783,118.725,10,31729,16.611419677734375,0.0065243198,118.725,0.0008091056,-0.07645142078399658,679,0.0065243198
0.0,0.6168934,126.025,6,32693,17.13993763923645,0.0042278953,126.025,0.0010320123,-0.07519423961639404,685,0.0042278953
0.0,0.59169793,132.75,7,33785,17.705079317092896,0.007497628,132.75,0.0005210106,-0.1269913911819458,692,0.007497628
0.0,0.5977801,138.35,5,34642,18.22338557243347,0.002928792,138.35,0.0008846596,-0.13334310054779053,697,0.002928792
0.0,0.59394944,145.625,7,35733,18.828253984451294,0.008401661,145.625,0.00085065124,-0.07156252861022949,704,0.008401661
0.0,0.59235144,150.625,6,36806,19.335596323013306,0.0049881786,150.625,0.00071358634,-0.05927145481109619,710,0.0049881786
