TimeElapsed,surrgain,EpThisIter,TimestepsSoFar,meankl,entropy,EpisodesSoFar,optimgain,ev_tdlam_before,EpRewMean,entloss,EpLenMean
48.586015462875366,0.0040576984,5,90940,0.00057580206,0.58188766,742,0.0040576984,0.0030704736709594727,192.825,0.0,192.825
49.1531457901001,0.004455682,6,92116,0.0007463259,0.59279156,748,0.004455682,0.00862497091293335,193.075,0.0,193.075
49.69435358047485,0.005794894,5,93014,0.00070371147,0.5851408,753,0.005794894,-0.008408188819885254,193.025,0.0,193.025
50.22857093811035,0.0059091416,7,94145,0.00091582246,0.5751167,760,0.0059091416,-0.005029439926147461,188.975,0.0,188.975
50.7600371837616,0.0030532014,5,95145,0.0007516926,0.5578717,765,0.0030532014,-0.0045206546783447266,188.975,0.0,188.975
51.32223701477051,0.0036934516,5,96145,0.0007692746,0.58366066,770,0.0036934516,0.0021286606788635254,188.975,0.0,188.975
51.83008027076721,0.0022036089,5,97145,0.000620894,0.5827894,775,0.0022036089,-0.005890607833862305,190.125,0.0,190.125
52.38351559638977,0.0044198856,5,98145,0.0009766432,0.5901113,780,0.0044198856,-0.001590132713317871,190.125,0.0,190.125
52.90355324745178,0.005467511,6,99229,0.0006628563,0.57583576,786,0.005467511,-0.003276228904724121,187.825,0.0,187.825
53.41203260421753,0.0050232993,6,100292,0.00052409904,0.5678636,792,0.0050232993,-0.015336036682128906,186.95,0.0,186.95
