meankl,EpisodesSoFar,entloss,EpThisIter,TimestepsSoFar,optimgain,EpRewMean,ev_tdlam_before,surrgain,EpLenMean,entropy,TimeElapsed
0.0007585292,46,0.0,46,1005,0.0068187746,21.95,-0.0013151168823242188,0.0068187746,21.95,0.6923538,0.657543420791626
0.00091383944,95,0.0,49,2032,0.00848926,21.275,0.02453094720840454,0.00848926,21.275,0.6896584,1.201622724533081
0.0009271668,135,0.0,40,3060,0.0064552673,25.7,-0.00417327880859375,0.0064552673,25.7,0.6864382,1.762911081314087
0.00096562825,170,0.0,35,4083,0.007989473,28.6,0.05182039737701416,0.007989473,28.6,0.6794416,2.339416980743408
0.0010009136,199,0.0,29,5093,0.008174011,32.975,0.07164037227630615,0.008174011,32.975,0.6744952,2.8746094703674316
0.00097349077,220,0.0,21,6080,0.010781116,40.85,-0.041846394538879395,0.010781116,40.85,0.6713366,3.405424118041992
0.00082022825,248,0.0,28,7106,0.0060776677,40.275,0.058422207832336426,0.0060776677,40.275,0.65552497,3.9213438034057617
0.0008673172,270,0.0,22,8186,0.008802224,44.125,0.12644559144973755,0.008802224,44.125,0.65408856,4.4398462772369385
0.00087730517,292,0.0,22,9195,0.007917874,48.4,0.12524032592773438,0.007917874,48.4,0.6429354,4.980058193206787
0.0007981438,308,0.0,16,10188,0.0083142575,54.925,0.1463637351989746,0.0083142575,54.925,0.63926446,5.579051971435547
0.0007846275,322,0.0,14,11231,0.010330381,61.775,0.1892610788345337,0.010330381,61.775,0.6307277,6.124387979507446
0.0008022694,334,0.0,12,12234,0.006352991,73.275,0.26894843578338623,0.006352991,73.275,0.6235298,6.669567108154297
