# {"t_start": 1539260316.813338, "env_id": "CartPole-v0"} 
r,l,t
200.0,200,44.742662
200.0,200,44.844393
200.0,200,44.945289
191.0,191,45.025349
200.0,200,45.220773
196.0,196,45.300348
200.0,200,45.397866
200.0,200,45.500624
200.0,200,45.602995
200.0,200,45.795416
176.0,176,45.864382
200.0,200,45.943954
200.0,200,46.020586
200.0,200,46.100262
200.0,200,46.197614
164.0,164,46.373963
200.0,200,46.475985
187.0,187,46.572176
200.0,200,46.649358
200.0,200,46.724413
147.0,147,46.864997
200.0,200,46.953991
200.0,200,47.044096
200.0,200,47.135083
139.0,139,47.198052
200.0,200,47.292844
200.0,200,47.470841
200.0,200,47.550292
200.0,200,47.629458
146.0,146,47.687707
200.0,200,47.766801
189.0,189,47.922129
178.0,178,47.992584
200.0,200,48.071633
200.0,200,48.150627
200.0,200,48.229735
179.0,179,48.301322
167.0,167,48.46049
193.0,193,48.540998
200.0,200,48.640624
200.0,200,48.743723
200.0,200,48.843554
200.0,200,49.030295
200.0,200,49.107987
200.0,200,49.183963
200.0,200,49.261256
200.0,200,49.352524
200.0,200,49.555366
200.0,200,49.657031
200.0,200,49.758764
200.0,200,49.845175
162.0,162,49.908539
154.0,154,49.969231
168.0,168,50.115942
149.0,149,50.191612
183.0,183,50.284101
197.0,197,50.377694
151.0,151,50.455658
200.0,200,50.647641
162.0,162,50.711364
200.0,200,50.791032
199.0,199,50.87213
169.0,169,50.953134
191.0,191,51.051175
200.0,200,51.248191
200.0,200,51.346726
137.0,137,51.411001
184.0,184,51.483413
200.0,200,51.562017
140.0,140,51.617367
127.0,127,51.770584
159.0,159,51.852877
165.0,165,51.936898
200.0,200,52.038735
184.0,184,52.132581
200.0,200,52.228582
200.0,200,52.406204
200.0,200,52.483527
199.0,199,52.567605
148.0,148,52.630664
200.0,200,52.709497
196.0,196,52.876949
160.0,160,52.941726
146.0,146,53.013803
200.0,200,53.093279
200.0,200,53.173606
200.0,200,53.255526
200.0,200,53.423671
169.0,169,53.490349
200.0,200,53.581348
145.0,145,53.64496
200.0,200,53.733378
164.0,164,53.892137
200.0,200,53.978775
200.0,200,54.062138
200.0,200,54.139833
180.0,180,54.223087
200.0,200,54.324039
