TimeElapsed,optimgain,EpThisIter,EpLenMean,entropy,EpRewMean,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,entloss,surrgain,meankl
46.53195571899414,0.0014454483,6,195.5,0.5860698,195.5,0.3627127408981323,85925,1244,0.0,0.0014454483,9.054839e-05
47.107675552368164,0.0014844355,5,194.05,0.59186316,194.05,0.15016210079193115,86867,1249,0.0,0.0014844355,5.9388985e-05
47.68602538108826,0.0015030641,5,194.825,0.59533507,194.825,0.25048547983169556,87866,1254,0.0,0.0015030641,7.235554e-05
48.21225953102112,0.0011605008,6,194.55,0.5901158,194.55,0.4244602918624878,89026,1260,0.0,0.0011605008,7.527524e-05
48.785985469818115,0.0017584467,5,194.85,0.5713471,194.85,0.2825910449028015,90026,1265,0.0,0.0017584467,7.1938244e-05
49.40623879432678,0.0009079019,5,195.2,0.5815352,195.2,0.3652961254119873,91026,1270,0.0,0.0009079019,8.373898e-05
49.96797704696655,0.0015404756,5,194.675,0.57363135,194.675,0.39535844326019287,92005,1275,0.0,0.0015404756,8.545811e-05
50.525922536849976,0.0011063921,5,196.7,0.5825304,196.7,0.4064110517501831,93005,1280,0.0,0.0011063921,8.289942e-05
51.0609245300293,0.0011129682,6,198.45,0.5816941,198.45,0.37556272745132446,94205,1286,0.0,0.0011129682,6.150933e-05
51.57396841049194,0.0014747677,5,198.475,0.59367836,198.475,0.10673969984054565,95205,1291,0.0,0.0014747677,9.083911e-05
52.130921363830566,0.0016808051,5,198.475,0.5900121,198.475,0.43065690994262695,96205,1296,0.0,0.0016808051,8.767859e-05
52.64962935447693,0.0005925009,5,199.475,0.5757833,199.475,0.05672341585159302,97205,1301,0.0,0.0005925009,6.4195854e-05
53.17699980735779,0.0019176917,5,198.325,0.57260793,198.325,0.46721023321151733,98159,1306,0.0,0.0019176917,9.851126e-05
53.667229890823364,0.00090719527,5,198.325,0.586626,198.325,0.30168360471725464,99159,1311,0.0,0.00090719527,9.140086e-05
54.174731969833374,0.0011969351,5,198.85,0.5949322,198.85,0.17074459791183472,100159,1316,0.0,0.0011969351,9.546094e-05
