# {"t_start": 1539261837.1660576, "env_id": "CartPole-v0"} 
r,l,t
200.0,200,47.360636
200.0,200,47.450958
200.0,200,47.533011
200.0,200,47.622394
200.0,200,47.800684
200.0,200,47.890953
147.0,147,47.958527
200.0,200,48.055101
200.0,200,48.158433
200.0,200,48.248268
200.0,200,48.418638
200.0,200,48.494373
200.0,200,48.575357
200.0,200,48.666841
200.0,200,48.758797
200.0,200,48.956791
200.0,200,49.04356
200.0,200,49.119127
200.0,200,49.198044
200.0,200,49.276501
200.0,200,49.455271
200.0,200,49.557025
200.0,200,49.648578
200.0,200,49.736071
200.0,200,49.832435
200.0,200,50.005667
200.0,200,50.08692
200.0,200,50.166216
200.0,200,50.267352
200.0,200,50.369692
200.0,200,50.573455
200.0,200,50.658396
200.0,200,50.734271
200.0,200,50.819307
200.0,200,50.895873
200.0,200,51.073662
200.0,200,51.176736
200.0,200,51.278363
200.0,200,51.381011
200.0,200,51.462816
200.0,200,51.6381
200.0,200,51.714898
86.0,86,51.748225
200.0,200,51.838245
60.0,60,51.868036
200.0,200,51.967783
200.0,200,52.068793
200.0,200,52.25617
200.0,200,52.332023
200.0,200,52.41416
200.0,200,52.495566
200.0,200,52.575902
200.0,200,52.777274
200.0,200,52.866894
200.0,200,52.953472
200.0,200,53.046578
200.0,200,53.121664
200.0,200,53.285242
200.0,200,53.364076
200.0,200,53.454246
200.0,200,53.54537
200.0,200,53.645643
200.0,200,53.824566
200.0,200,53.903311
200.0,200,53.981927
182.0,182,54.052169
200.0,200,54.127043
