EpRewMean,TimestepsSoFar,entloss,entropy,EpThisIter,optimgain,meankl,TimeElapsed,surrgain,ev_tdlam_before,EpisodesSoFar,EpLenMean
114.775,16356,0.0,0.594145,9,0.006958217,0.0008197359,12.80682897567749,0.006958217,0.3900038003921509,355,114.775
127.35,17394,0.0,0.60774124,6,0.0027526643,0.00079499,13.571726560592651,0.0027526643,0.4150799512863159,361,127.35
135.9,18243,0.0,0.60404295,5,0.006327553,0.00059524487,14.30999207496643,0.006327553,0.505673885345459,366,135.9
149.1,19336,0.0,0.59841436,6,0.0039827554,0.00083893584,15.08436369895935,0.0039827554,0.6647343635559082,372,149.1
153.65,20281,0.0,0.6161752,5,0.0030976832,0.0008590963,16.07749104499817,0.0030976832,0.4296836853027344,377,153.65
163.475,21358,0.0,0.5909706,6,0.0061915033,0.0008244734,16.935928344726562,0.0061915033,0.7404483258724213,383,163.475
171.125,22528,0.0,0.6053462,6,0.004596743,0.0007527759,17.74106001853943,0.004596743,0.6330892741680145,389,171.125
176.05,23398,0.0,0.5910735,6,0.009273096,0.0008291305,18.571941375732422,0.009273096,0.36241763830184937,395,176.05
179.225,24563,0.0,0.60166705,6,0.002540005,0.0005447073,19.4248526096344,0.002540005,0.5413565635681152,401,179.225
181.025,25484,0.0,0.5947465,5,0.0070240675,0.00097449165,20.285021781921387,0.0070240675,0.8416577279567719,406,181.025
182.8,26448,0.0,0.58899534,5,0.0043938677,0.0008841763,21.10356092453003,0.0043938677,0.6425034999847412,411,182.8
180.725,27510,0.0,0.59802425,6,0.003513855,0.0007275352,21.897953510284424,0.003513855,0.7312421500682831,417,180.725
183.075,28481,0.0,0.5903835,5,0.005148801,0.00071493705,22.680258989334106,0.005148801,0.28519874811172485,422,183.075
183.5,29681,0.0,0.5801026,6,0.0028256709,0.0007413355,23.479822874069214,0.0028256709,0.6154734194278717,428,183.5
192.075,30681,0.0,0.5903651,5,0.0019145273,0.00048245757,24.24491596221924,0.0019145273,0.5934397578239441,433,192.075
191.3,31618,0.0,0.5667252,5,0.0066425395,0.00061825744,25.052561044692993,0.0066425395,0.12382251024246216,438,191.3
192.075,32618,0.0,0.58091295,5,0.0037807368,0.00073951756,25.829953908920288,0.0037807368,0.2667916417121887,443,192.075
193.625,33618,0.0,0.57951814,5,0.0027703897,0.00076669233,26.633751153945923,0.0027703897,0.24661201238632202,448,193.625
195.7,34618,0.0,0.5795344,5,0.0020508512,0.0007064367,27.49358892440796,0.0020508512,0.42680227756500244,453,195.7
195.55,35732,0.0,0.57169366,6,0.003937933,0.0008085442,28.339250326156616,0.003937933,0.6790652573108673,459,195.55
196.275,36732,0.0,0.5817847,5,0.0030188104,0.000598818,29.104395389556885,0.0030188104,0.21347302198410034,464,196.275
196.275,37732,0.0,0.56615865,5,0.0031386954,0.00072098325,29.957228183746338,0.0031386954,0.4043501615524292,469,196.275
196.275,38732,0.0,0.5806043,5,0.001663351,0.0006309462,30.788694858551025,0.001663351,0.29756760597229004,474,196.275
