entropy,EpThisIter,ev_tdlam_before,optimgain,EpRewMean,EpisodesSoFar,entloss,TimestepsSoFar,meankl,surrgain,EpLenMean,TimeElapsed
0.68971753,42,0.0030536651611328125,0.012288121,24.425,42,0.0,1008,0.0033969444,0.012288121,24.425,0.6988790035247803
0.6777376,38,-0.0011442899703979492,0.0176979,27.25,80,0.0,2044,0.004536209,0.0176979,27.25,1.3032045364379883
0.6617,26,-0.0010454654693603516,0.019933892,36.075,106,0.0,3066,0.0046399105,0.019933892,36.075,1.8330276012420654
0.6377872,25,-0.012360930442810059,0.018465087,40.025,131,0.0,4034,0.004659118,0.018465087,40.025,2.405344247817993
0.6177211,16,0.01470726728439331,0.010738224,49.125,147,0.0,5069,0.0040868074,0.010738224,49.125,2.9556100368499756
0.6125179,9,0.018669068813323975,0.0088582635,66.45,156,0.0,6116,0.0038003554,0.0088582635,66.45,3.492537498474121
0.60371935,7,0.005358755588531494,0.0091625815,82.5,163,0.0,7002,0.0031385904,0.0091625815,82.5,4.07103967666626
0.5976631,7,0.026458144187927246,0.012076144,102.2,170,0.0,8105,0.003984262,0.012076144,102.2,4.584336280822754
0.5992988,6,0.01104968786239624,0.008509123,118.4,176,0.0,9108,0.0029349395,0.008509123,118.4,5.162356376647949
0.599188,6,0.0021401047706604004,0.009909665,131.025,182,0.0,10042,0.0056125186,0.009909665,131.025,5.735936164855957
0.5960857,7,0.016399860382080078,0.008160117,149.15,189,0.0,11206,0.0028372367,0.008160117,149.15,6.294902563095093
0.57213163,8,0.0017560124397277832,0.01681635,149.7,197,0.0,12153,0.00395104,0.01681635,149.7,6.8188252449035645
0.58717257,7,0.0012515783309936523,0.008918235,152.25,204,0.0,13292,0.003131779,0.008918235,152.25,7.397019624710083
0.58853716,7,0.003845691680908203,0.01745024,152.575,211,0.0,14327,0.004078981,0.01745024,152.575,8.03735876083374
