EpRewMean,entloss,entropy,EpLenMean,ev_tdlam_before,meankl,EpThisIter,EpisodesSoFar,TimestepsSoFar,TimeElapsed,surrgain,optimgain
146.975,0.06203249,0.6203249,146.975,0.06829303503036499,0.00063473324,5,763,89919,48.83875298500061,0.0033644694,0.06539696
154.9,0.060593117,0.60593116,154.9,0.25012874603271484,0.00071570824,6,769,90967,49.34157204627991,0.005405009,0.06599812
152.875,0.059577703,0.59577703,152.875,0.046377480030059814,0.0006120858,8,777,92105,49.87560677528381,0.0062357215,0.06581342
153.825,0.062112775,0.6211277,153.825,0.14052808284759521,0.00065310684,6,783,93131,50.46546816825867,0.0029450003,0.06505778
150.275,0.058740854,0.58740854,150.275,0.10116654634475708,0.00068430434,8,791,94096,51.01671743392944,0.0059413393,0.06468219
152.55,0.06019025,0.6019025,152.55,0.2581483721733093,0.0008023208,8,799,95226,51.54866075515747,0.0063465685,0.066536814
152.675,0.06149609,0.6149609,152.675,0.2838745713233948,0.00082132174,5,804,96226,52.10351800918579,0.0023026504,0.06379874
152.425,0.061117746,0.61117744,152.425,0.19142431020736694,0.0006584753,6,810,97264,52.625346422195435,0.005061377,0.06617913
152.825,0.06123768,0.6123768,152.825,0.3697360157966614,0.00076500385,7,817,98218,53.18798303604126,0.0051197456,0.06635743
152.375,0.06057849,0.6057849,152.375,0.10587459802627563,0.0007447294,6,823,99226,53.758082151412964,0.004714269,0.06529276
162.35,0.061266392,0.6126639,162.35,0.4284818172454834,0.0009136255,6,829,100330,54.25481176376343,0.003802034,0.065068424
