explained_variance,value_loss,total_timesteps,fps,nupdates,policy_entropy
0.6410426795482635,0.0009042158490046859,63000,1098,12600,0.6764912605285645
-2.3861911296844482,0.0033418280072510242,63500,1098,12700,0.6584192514419556
0.2745370864868164,0.0006589229451492429,64000,1098,12800,0.6672990918159485
-5.337673664093018,0.0035318504087626934,64500,1098,12900,0.6395817995071411
-5.126645088195801,0.0037288456223905087,65000,1098,13000,0.6582108736038208
0.14881402254104614,0.000971321773249656,65500,1098,13100,0.6723238229751587
-0.010931849479675293,3981.284423828125,66000,1099,13200,0.4155338406562805
-0.023176908493041992,5990.63427734375,66500,1099,13300,0.5836913585662842
-46.34408187866211,0.006749278865754604,67000,1099,13400,0.6536487340927124
-22.0454044342041,0.0005571804358623922,67500,1099,13500,0.4466713070869446
-39.739227294921875,0.007263347506523132,68000,1099,13600,0.6503254175186157
-0.00396573543548584,3908.703857421875,68500,1099,13700,0.41210681200027466
-36751.03125,0.0035503737162798643,69000,1099,13800,0.6421706676483154
-428.7239990234375,0.004216521047055721,69500,1099,13900,0.6206652522087097
-31.22454833984375,0.0037215326447039843,70000,1099,14000,0.5426840782165527
-0.5051194429397583,0.0001230617199325934,70500,1099,14100,0.5804749727249146
0.8930413201451302,3.942520197597332e-05,71000,1099,14200,0.5235875844955444
0.5942580103874207,0.0001321479066973552,71500,1099,14300,0.63797926902771
-0.2902095317840576,0.0006963764899410307,72000,1099,14400,0.6203593015670776
0.6416212618350983,0.0034249406307935715,72500,1099,14500,0.6159074902534485
-0.7621409893035889,0.0007215944351628423,73000,1099,14600,0.5092772245407104
-0.2972719669342041,0.00498488312587142,73500,1099,14700,0.56247478723526
0.6638599336147308,0.00021925743203610182,74000,1099,14800,0.5960519909858704
0.784206286072731,0.00010532316809985787,74500,1099,14900,0.6049942374229431
